experiment_id	parent	seed	status	score	parameters	steps	runtime_seconds
E001-pooled	E001-pooled	101	accepted	0.4597321428571429	200549	60	12.076039333001972
E002-flat	E002-flat	101	accepted	0.42465909090909093	192281	60	12.362642416999734
E003-recurrent-standard	E003-recurrent-standard	101	accepted	0.5045833333333333	297049	60	17.897028114999557
E004-recurrent-compositional	E004-recurrent-compositional	101	accepted	0.47958333333333336	305763	60	19.223144943996886
E005-untied	E005-untied	101	accepted	0.47375000000000006	1324889	60	18.214985729002365
E006-one-hypothesis	E006-one-hypothesis	101	accepted	0.5045833333333333	297049	60	17.795725074000075
E007-no-global-evidence	E007-no-global-evidence	101	accepted	0.4712500000000001	297049	60	16.092021615000704
E008-no-context-voi	E008-no-context-voi	101	accepted	0.4791666666666667	297049	60	17.82922384700214
F-E003-recurrent-standard-s202	E003-recurrent-standard	202	accepted	0.41291666666666665	297049	60	18.281302007002523
F-E003-recurrent-standard-s303	E003-recurrent-standard	303	accepted	0.48625	297049	60	18.509965604996978
F-E006-one-hypothesis-s202	E006-one-hypothesis	202	accepted	0.41291666666666665	297049	60	18.353463528001157
F-E006-one-hypothesis-s303	E006-one-hypothesis	303	accepted	0.48625	297049	60	18.60111754600075
